id,tier,topic,type,question,answer,alternative_answer,explanation,created_at,expected_output,language
E011,expert,async_await,write_the_code,"Write an async function fetch_data(name) that prints ""Fetching <name>..."", awaits asyncio.sleep(0), then returns ""<name>: done"". Write a main() async function that awaits fetch_data(""users"") and prints the result. Run main() with asyncio.run().","import asyncio

async def fetch_data(name):
    print(f""Fetching {name}..."")
    await asyncio.sleep(0)
    return f""{name}: done""

async def main():
    result = await fetch_data(""users"")
    print(result)

asyncio.run(main())",,"async def defines a coroutine. await suspends the current coroutine and gives control to the event loop, which can run other tasks. asyncio.sleep(0) is the minimal yield point — it lets other scheduled coroutines run without actually waiting. asyncio.run() creates a fresh event loop, runs the given coroutine to completion, then closes the loop.",2026-05-08 16:11:13.914963+00,"Fetching users...
users: done",python
E012,expert,abc,write_the_code,"Using abc.ABC and @abstractmethod, write an abstract base class Shape with an abstract method area() that returns a float. Write concrete subclasses Rectangle(width, height) and Circle(radius) that each implement area(). Create one of each and print their areas rounded to 2 decimal places.","from abc import ABC, abstractmethod
import math

class Shape(ABC):
    @abstractmethod
    def area(self) -> float:
        pass

class Rectangle(Shape):
    def __init__(self, width, height):
        self.width = width
        self.height = height

    def area(self):
        return self.width * self.height

class Circle(Shape):
    def __init__(self, radius):
        self.radius = radius

    def area(self):
        return math.pi * self.radius ** 2

print(round(Rectangle(4, 5).area(), 2))
print(round(Circle(3).area(), 2))",,ABCs enforce a contract: any class that inherits from Shape without implementing area() raises TypeError when instantiated. @abstractmethod marks the method as required. The ABC metaclass handles the enforcement automatically — you do not need custom __init_subclass__ logic.,2026-05-08 16:11:13.914963+00,"20
28.27",python
E013,expert,multiple_inheritance,write_the_code,"Write three classes: Flyable with move() returning ""Flying"", Swimmable with move() returning ""Swimming"", and Duck that inherits from both (Flyable first). Add a describe() method to Duck that returns ""I am a duck that can: "" + super().move(). Create a Duck instance and print move() and describe().","class Flyable:
    def move(self):
        return ""Flying""

class Swimmable:
    def move(self):
        return ""Swimming""

class Duck(Flyable, Swimmable):
    def describe(self):
        return ""I am a duck that can: "" + super().move()

d = Duck()
print(d.move())
print(d.describe())",,"Python's MRO (Method Resolution Order) determines which method is used when multiple parent classes define the same name. For Duck(Flyable, Swimmable) the MRO is Duck -> Flyable -> Swimmable -> object. So both d.move() and super().move() inside Duck resolve to Flyable.move(). Use Duck.__mro__ to inspect the full chain.",2026-05-08 16:11:13.914963+00,"Flying
I am a duck that can: Flying",python
E014,expert,type_hints,write_the_code,"Write a typed function merge_dicts that accepts two dicts of type dict[str, int] and returns a new dict[str, int] where values for shared keys are summed. Add full type annotations to the parameters and return value. Test it with {""a"": 1, ""b"": 2} and {""b"": 3, ""c"": 4} and print the result.","def merge_dicts(d1: dict[str, int], d2: dict[str, int]) -> dict[str, int]:
    result = dict(d1)
    for key, value in d2.items():
        result[key] = result.get(key, 0) + value
    return result

print(merge_dicts({""a"": 1, ""b"": 2}, {""b"": 3, ""c"": 4}))",,"Type hints (PEP 484) annotate parameters and return values with expected types. dict[str, int] is a built-in generic syntax available from Python 3.9+. Hints are not enforced at runtime — they are documentation for readers and checked by static tools like mypy or pyright. dict(d1) copies the first dict to avoid mutating the original.",2026-05-08 16:11:13.914963+00,"{'a': 1, 'b': 5, 'c': 4}",python
E015,expert,metaclasses,write_the_code,"Write a metaclass UpperCaseMeta that converts all non-dunder attribute names in a class to uppercase when the class is created. Apply it to a class Config that sets debug = True and version = ""1.0"". Print Config.DEBUG and Config.VERSION.","class UpperCaseMeta(type):
    def __new__(mcs, name, bases, namespace):
        upper_namespace = {}
        for key, value in namespace.items():
            if key.startswith(""__""):
                upper_namespace[key] = value
            else:
                upper_namespace[key.upper()] = value
        return super().__new__(mcs, name, bases, upper_namespace)

class Config(metaclass=UpperCaseMeta):
    debug = True
    version = ""1.0""

print(Config.DEBUG)
print(Config.VERSION)",,A metaclass controls how a class is created. type is the default metaclass. Overriding __new__ lets you inspect and transform the class namespace before the class object is built. Dunder names are copied as-is while all other names are uppercased. super().__new__() then builds the actual class with the modified namespace.,2026-05-08 16:11:13.914963+00,"True
1.0",python
E016,expert,property,fill_in_the_blank,"Fill in the two blanks to complete the read-write property, then print the side after setting it:

class Square:
    def __init__(self, side):
        self._side = side

    @______
    def side(self):
        return self._side

    @side.______
    def side(self, value):
        if value < 0:
            raise ValueError(""Side must be non-negative"")
        self._side = value

s = Square(4)
s.side = 10
print(s.side)","class Square:
    def __init__(self, side):
        self._side = side

    @property
    def side(self):
        return self._side

    @side.setter
    def side(self, value):
        if value < 0:
            raise ValueError(""Side must be non-negative"")
        self._side = value

s = Square(4)
s.side = 10
print(s.side)",,"@property makes the method a getter — it can be read like an attribute. @<name>.setter registers a setter for the same property name. If only @property is used, the attribute is read-only and assignment raises AttributeError.",2026-05-08 16:12:21.986256+00,10,python
E017,expert,classmethod,fill_in_the_blank,"Fill in the blank so from_fahrenheit is a class method, then print the converted temperature:

class Celsius:
    def __init__(self, temp):
        self.temp = temp

    @______
    def from_fahrenheit(cls, f):
        return cls((f - 32) * 5 / 9)

c = Celsius.from_fahrenheit(212)
print(c.temp)","class Celsius:
    def __init__(self, temp):
        self.temp = temp

    @classmethod
    def from_fahrenheit(cls, f):
        return cls((f - 32) * 5 / 9)

c = Celsius.from_fahrenheit(212)
print(c.temp)",,@classmethod passes the class as the first argument (cls) instead of the instance. It is the standard way to write alternative constructors. Using cls(...) instead of Celsius(...) ensures that subclasses inherit the factory method correctly.,2026-05-08 16:12:21.986256+00,100.0,python
E018,expert,staticmethod,fill_in_the_blank,"Fill in the blank so is_palindrome can be called without creating an instance, then print the result:

class StringUtils:
    @______
    def is_palindrome(s):
        return s == s[::-1]

print(StringUtils.is_palindrome(""racecar""))","class StringUtils:
    @staticmethod
    def is_palindrome(s):
        return s == s[::-1]

print(StringUtils.is_palindrome(""racecar""))",,"@staticmethod removes both self and cls from the signature. It is a plain function grouped inside the class for organisational purposes. It can be called as StringUtils.is_palindrome(""racecar"") or on an instance — either way, no class or instance is passed automatically.",2026-05-08 16:12:21.986256+00,True,python
E019,expert,dataclasses,fill_in_the_blank,"Fill in the two blanks to define the dataclass, then print an instance:

from dataclasses import ______

@______
class Employee:
    name: str
    department: str
    salary: float = 50000.0

e = Employee(""Alice"", ""Engineering"")
print(e)","from dataclasses import dataclass

@dataclass
class Employee:
    name: str
    department: str
    salary: float = 50000.0

e = Employee(""Alice"", ""Engineering"")
print(e)",,"dataclass is imported from the dataclasses module and used both as the import name and the decorator. @dataclass inspects annotated class attributes and auto-generates __init__, __repr__, and __eq__. Fields with defaults (salary) must be declared after fields without defaults.",2026-05-08 16:12:21.986256+00,"Employee(name='Alice', department='Engineering', salary=50000.0)",python
E020,expert,__slots__,fill_in_the_blank,"Fill in the blank so instances use a fixed memory layout and reject attributes outside the declared set (assigning an undeclared attribute should raise AttributeError):

class Node:
    ______ = (""value"", ""next_node"")

    def __init__(self, value):
        self.value = value
        self.next_node = None

n = Node(42)
try:
    n.color = ""red""
    print(""color set"")
except AttributeError:
    print(""blocked"")","class Node:
    __slots__ = (""value"", ""next_node"")

    def __init__(self, value):
        self.value = value
        self.next_node = None

n = Node(42)
try:
    n.color = ""red""
    print(""color set"")
except AttributeError:
    print(""blocked"")",,"Setting __slots__ to a tuple of attribute names tells Python to allocate a fixed-size structure instead of a per-instance __dict__. This reduces memory usage significantly when thousands of instances are created, as in a linked list. Only the declared slot names can be stored as attributes.",2026-05-08 16:12:21.986256+00,blocked,python
E021,expert,advanced_decorators,fill_in_the_blank,"Fill in the two blanks so retry runs the function up to `times` times, then print the result:

def retry(times):
    def decorator(func):
        def wrapper(*args, **kwargs):
            for attempt in range(______):
                try:
                    return func(*args, **kwargs)
                except Exception:
                    if attempt == times - 1:
                        raise
        return wrapper
    return ______

attempts = []

@retry(3)
def flaky():
    attempts.append(1)
    if len(attempts) < 2:
        raise ValueError(""fail"")
    return ""ok""

print(flaky())","def retry(times):
    def decorator(func):
        def wrapper(*args, **kwargs):
            for attempt in range(times):
                try:
                    return func(*args, **kwargs)
                except Exception:
                    if attempt == times - 1:
                        raise
        return wrapper
    return decorator

attempts = []

@retry(3)
def flaky():
    attempts.append(1)
    if len(attempts) < 2:
        raise ValueError(""fail"")
    return ""ok""

print(flaky())",,"The outer function retry(times) is the factory — it captures times and returns the real decorator. The loop retries up to times times. On the last attempt, the exception is re-raised so it propagates to the caller. The factory must return decorator (not wrapper), because the decorator still needs to wrap the function.",2026-05-08 16:12:21.986256+00,ok,python
E022,expert,generators,fill_in_the_blank,"Fill in the two blanks so the generator receives a value from the caller:

def echo():
    while True:
        received = ______
        print(f""Got: {received}"")

gen = echo()
next(gen)
gen.______(42)","def echo():
    while True:
        received = yield
        print(f""Got: {received}"")

gen = echo()
next(gen)
gen.send(42)",,"received = yield pauses the generator and makes the yielded value available to the caller. When send(42) is called, 42 becomes the value of the yield expression and is assigned to received. The generator must be primed with next() first — before the first yield is reached, send() cannot inject a value.",2026-05-08 16:12:21.986256+00,Got: 42,python
E023,expert,generators,fill_in_the_blank,"Fill in the blank to recursively flatten a nested list, then print the flattened result:

def flatten(nested):
    for item in nested:
        if isinstance(item, list):
            ______ flatten(item)
        else:
            yield item

print(list(flatten([1, [2, [3, 4]], 5])))","def flatten(nested):
    for item in nested:
        if isinstance(item, list):
            yield from flatten(item)
        else:
            yield item

print(list(flatten([1, [2, [3, 4]], 5])))",,"yield from <generator> delegates iteration to the sub-generator, forwarding all its yielded values to the outer caller. Here, flatten(item) returns a generator for the sub-list, and yield from streams all its items outward. Without yield from you would need an explicit for loop with yield.",2026-05-08 16:12:21.986256+00,"[1, 2, 3, 4, 5]",python
E024,expert,async_await,fill_in_the_blank,"Fill in the two blanks to await the coroutine and run it:

import asyncio

async def hello():
    ______ asyncio.sleep(1)
    print(""Hello after 1 second"")

asyncio.______(hello())","import asyncio

async def hello():
    await asyncio.sleep(1)
    print(""Hello after 1 second"")

asyncio.run(hello())",,"await suspends the coroutine and yields control to the event loop until the awaited coroutine completes. asyncio.run() is the entry point that creates an event loop, runs the given coroutine to completion, and then closes the loop. It should only be called once at the top level of your program.",2026-05-08 16:12:21.986256+00,Hello after 1 second,python
E025,expert,abc,fill_in_the_blank,"Fill in the two blanks to declare an abstract method, then print the result of a concrete subclass:

from abc import ABC, ______

class Vehicle(ABC):
    @______
    def fuel_type(self) -> str:
        pass

class Car(Vehicle):
    def fuel_type(self) -> str:
        return ""petrol""

print(Car().fuel_type())","from abc import ABC, abstractmethod

class Vehicle(ABC):
    @abstractmethod
    def fuel_type(self) -> str:
        pass

class Car(Vehicle):
    def fuel_type(self) -> str:
        return ""petrol""

print(Car().fuel_type())",,abstractmethod is imported from abc and used as both the import name and the decorator. Applying @abstractmethod marks a method as required — any concrete subclass that does not implement it will raise TypeError when instantiated. The ABC base class activates this enforcement.,2026-05-08 16:12:21.986256+00,petrol,python
E026,expert,multiple_inheritance,fill_in_the_blank,"Fill in the blank using the recommended Python 3 style, then print the greeting:

class A:
    def greet(self):
        return ""Hello from A""

class B(A):
    def greet(self):
        return ______.greet() + "" and B""

print(B().greet())","class A:
    def greet(self):
        return ""Hello from A""

class B(A):
    def greet(self):
        return super().greet() + "" and B""

print(B().greet())",,"super() returns a proxy object that delegates method calls to the next class in the MRO. In Python 3, super() without arguments automatically uses the enclosing class (B) and the current instance (self). This is cleaner and less error-prone than the Python 2 style super(B, self), and it supports cooperative multiple inheritance correctly.",2026-05-08 16:12:21.986256+00,Hello from A and B,python
E027,expert,type_hints,fill_in_the_blank,"Fill in the two blanks to express that the return value is either a string or None, then print both results:

from typing import ______

def find_user(user_id: int) -> ______[str]:
    if user_id == 1:
        return ""Alice""
    return None

print(find_user(1))
print(find_user(2))","from typing import Optional

def find_user(user_id: int) -> Optional[str]:
    if user_id == 1:
        return ""Alice""
    return None

print(find_user(1))
print(find_user(2))",,"Optional[str] from the typing module means the value can be str or None — it is shorthand for Union[str, None]. In Python 3.10+ you can write str | None directly without importing anything. Optional is particularly useful for functions that may not always find a result.",2026-05-08 16:12:21.986256+00,"Alice
None",python
E028,expert,property,output_prediction,"What is the output?

class Temp:
    def __init__(self, c):
        self.celsius = c

    @property
    def celsius(self):
        return self._c

    @celsius.setter
    def celsius(self, v):
        self._c = v
        print(f""Set to {v}"")

t = Temp(20)
t.celsius = 35
print(t.celsius)","Set to 20
Set to 35
35",,"self.celsius = c inside __init__ routes through the property setter, not direct attribute assignment. So ""Set to 20"" prints during construction. Then t.celsius = 35 also calls the setter, printing ""Set to 35"". Finally, print(t.celsius) calls the getter and prints 35.",2026-05-08 16:12:21.986256+00,"Set to 20
Set to 35
35",python
E029,expert,classmethod_staticmethod,output_prediction,"What is the output?

class Counter:
    count = 0

    @classmethod
    def increment(cls):
        cls.count += 1

    @staticmethod
    def reset(obj):
        obj.count = 0

Counter.increment()
Counter.increment()
print(Counter.count)
Counter.reset(Counter)
print(Counter.count)","2
0",,"increment() is a classmethod — cls.count += 1 modifies the class attribute. After two calls, Counter.count is 2. reset() is a staticmethod that accepts an explicit object and sets its count to 0. Passing Counter resets the class attribute to 0. Both values are then printed.",2026-05-08 16:12:21.986256+00,"2
0",python
E030,expert,multiple_inheritance,output_prediction,"What is the output?

class X:
    def hello(self):
        print(""X"")

class Y(X):
    def hello(self):
        super().hello()
        print(""Y"")

class Z(Y):
    def hello(self):
        super().hello()
        print(""Z"")

Z().hello()","X
Y
Z",,"Z().hello() calls super().hello() which is Y.hello(). Y.hello() calls super().hello() which is X.hello(), printing ""X"". Execution returns to Y.hello() which prints ""Y"". Execution returns to Z.hello() which prints ""Z"". The MRO is Z -> Y -> X -> object, and super() follows it in sequence.",2026-05-08 16:12:21.986256+00,"X
Y
Z",python
E031,expert,generators,output_prediction,"What is the output?

def counter():
    n = 0
    while True:
        step = yield n
        n += step if step is not None else 1

gen = counter()
print(next(gen))
print(next(gen))
print(gen.send(5))
print(next(gen))","0
1
6
7",,"next(gen) primes and yields 0. next(gen) sends None so step is None, n += 1 = 1, yields 1. gen.send(5) sends step=5, n = 1+5 = 6, yields 6. next(gen) sends None so step is None, n += 1 = 7, yields 7.",2026-05-08 16:12:21.986256+00,"0
1
6
7",python
E032,expert,dataclasses,output_prediction,"What is the output?

from dataclasses import dataclass

@dataclass
class Book:
    title: str
    pages: int
    in_print: bool = True

print(Book(""Dune"", 412))","Book(title='Dune', pages=412, in_print=True)",,"@dataclass auto-generates __repr__ that includes all fields with their values. The format is ClassName(field1=value1, field2=value2, ...). String values are quoted, booleans appear as True/False. The default value for in_print is included because it is part of the instance state.",2026-05-08 16:12:21.986256+00,"Book(title='Dune', pages=412, in_print=True)",python
E033,expert,async_await,output_prediction,"What is the output?

import asyncio

async def task(name):
    await asyncio.sleep(0)
    return name.upper()

async def main():
    results = await asyncio.gather(task(""alpha""), task(""beta""))
    for r in results:
        print(r)

asyncio.run(main())","ALPHA
BETA",,"asyncio.gather() runs coroutines concurrently and returns a list of results in the same order as the input coroutines, regardless of completion order. Both tasks sleep for 0 seconds (a yield point only), then return their uppercased name. Results are printed in input order: ALPHA then BETA.",2026-05-08 16:12:21.986256+00,"ALPHA
BETA",python
E034,expert,advanced_decorators,output_prediction,"What is the output?

def tag(name):
    def decorator(func):
        def wrapper(*args, **kwargs):
            result = func(*args, **kwargs)
            return f""<{name}>{result}</{name}>""
        return wrapper
    return decorator

@tag(""b"")
@tag(""i"")
def text():
    return ""hello""

print(text())",<b><i>hello</i></b>,,"Decorators are applied bottom-up: @tag(""i"") is applied first, wrapping text() to produce <i>hello</i>. Then @tag(""b"") wraps that to produce <b><i>hello</i></b>. This is equivalent to text = tag(""b"")(tag(""i"")(text)).",2026-05-08 16:12:21.986256+00,<b><i>hello</i></b>,python
E035,expert,property,spot_the_bug,"This code raises an AttributeError. Find and fix the bug so it prints 10.

class Box:
    @property
    def width(self):
        return self._width

b = Box()
b.width = 10
print(b.width)","class Box:
    @property
    def width(self):
        return self._width

    @width.setter
    def width(self, value):
        self._width = value

b = Box()
b.width = 10
print(b.width)",,A property without a setter is read-only. Trying to assign to it raises AttributeError: can't set attribute. The fix is to add a @width.setter method that writes the value to the backing private attribute _width.,2026-05-08 16:12:21.986256+00,10,python
E036,expert,multiple_inheritance,spot_the_bug,"D().hello() should run hello() on every class in the MRO via cooperative super() calls, but B and C call A.hello directly, so C is skipped. Find and fix the bug so all classes run.

class A:
    def hello(self):
        print(""A"")

class B(A):
    def hello(self):
        A.hello(self)
        print(""B"")

class C(A):
    def hello(self):
        A.hello(self)
        print(""C"")

class D(B, C):
    def hello(self):
        super().hello()

D().hello()","class A:
    def hello(self):
        print(""A"")

class B(A):
    def hello(self):
        super().hello()
        print(""B"")

class C(A):
    def hello(self):
        super().hello()
        print(""C"")

class D(B, C):
    def hello(self):
        super().hello()

D().hello()",,"The MRO for D is D -> B -> C -> A -> object. Hard-coding A.hello(self) in B skips C entirely and calls A twice. Using super() in B and C follows the MRO cooperatively: D calls B, B calls C via super(), C calls A via super(). All three print statements fire in the correct order.",2026-05-08 16:12:21.986256+00,"A
C
B",python
E037,expert,dataclasses,spot_the_bug,"This code raises a ValueError from dataclasses. Find and fix the bug so it prints the playlist.

from dataclasses import dataclass
from typing import List

@dataclass
class Playlist:
    name: str
    tracks: List[str] = []

p = Playlist(""Road Trip"")
p.tracks.append(""Song A"")
print(p)","from dataclasses import dataclass, field
from typing import List

@dataclass
class Playlist:
    name: str
    tracks: List[str] = field(default_factory=list)

p = Playlist(""Road Trip"")
p.tracks.append(""Song A"")
print(p)",,"Mutable defaults (lists, dicts, sets) are forbidden in dataclasses because the same object would be shared across all instances — the classic Python mutable-default footgun. The fix is default_factory=list, which calls list() to create a fresh list for each new Playlist instance.",2026-05-08 16:12:21.986256+00,"Playlist(name='Road Trip', tracks=['Song A'])",python
E038,expert,__slots__,spot_the_bug,"Assigning p.color raises AttributeError because ""color"" is not in __slots__. Fix the bug so the color can be set, then print it.

class Pixel:
    __slots__ = (""x"", ""y"")

    def __init__(self, x, y):
        self.x = x
        self.y = y

p = Pixel(1, 2)
p.color = ""red""
print(p.color)","class Pixel:
    __slots__ = (""x"", ""y"", ""color"")

    def __init__(self, x, y):
        self.x = x
        self.y = y

p = Pixel(1, 2)
p.color = ""red""
print(p.color)",,"__slots__ removes the per-instance __dict__, so only the declared slots (x and y) can be stored as instance attributes. Attempting to set any other attribute raises AttributeError. To allow arbitrary attributes alongside slots, you can include ""__dict__"" in the __slots__ tuple.",2026-05-08 16:12:21.986256+00,red,python
E039,expert,async_await,spot_the_bug,"This async function prints a coroutine object instead of ""Alice"". Find and fix the bug.

import asyncio

async def get_name():
    return ""Alice""

async def main():
    name = get_name()
    print(name)

asyncio.run(main())","import asyncio

async def get_name():
    return ""Alice""

async def main():
    name = await get_name()
    print(name)

asyncio.run(main())",,"Calling an async function without await does not run it — it returns a coroutine object. You must await the coroutine to execute it and get its return value. Without await, name holds something like <coroutine object get_name at 0x...> and Python emits a RuntimeWarning: coroutine 'get_name' was never awaited.",2026-05-08 16:12:21.986256+00,Alice,python
E040,expert,metaclasses,what_is_the_result,"What is the output of this code?

class Meta(type):
    def __new__(mcs, name, bases, namespace):
        namespace[""created_by""] = ""Meta""
        return super().__new__(mcs, name, bases, namespace)

class MyClass(metaclass=Meta):
    pass

print(MyClass.created_by)
print(type(MyClass))","Meta
<class '__main__.Meta'>",,"Meta.__new__ is called when MyClass is being built. It injects created_by into the class namespace before construction, so MyClass.created_by == ""Meta"". type(MyClass) returns the metaclass of MyClass, which is Meta — not the built-in type — because metaclass=Meta was specified. Metaclasses are classes of classes.",2026-05-08 16:12:21.986256+00,"Meta
<class '__main__.Meta'>",python
H001,hard,decorators,write_the_code,"Write a decorator called logger that prints ""Calling <function name>"" before a function runs and ""Done"" after. Apply it to a function add(a, b) that returns a + b. Call add(2, 3) and print its return value.","def logger(func):
    def wrapper(*args, **kwargs):
        print(f""Calling {func.__name__}"")
        result = func(*args, **kwargs)
        print(""Done"")
        return result
    return wrapper

@logger
def add(a, b):
    return a + b

print(add(2, 3))",,A decorator is a function that takes another function as an argument and returns a new wrapper function that adds behavior before and/or after the original call. The wrapper uses *args and **kwargs so it can forward any arguments to the original. func.__name__ gives the original function's name string.,2026-05-08 16:09:43.223008+00,"Calling add
Done
5",python
H002,hard,generators,write_the_code,Write a generator function countdown(n) that yields integers from n down to 1. Iterate over countdown(5) and print each value on its own line.,"def countdown(n):
    while n >= 1:
        yield n
        n -= 1

for num in countdown(5):
    print(num)",,"A generator function uses yield instead of return to produce a sequence of values one at a time. Each time next() is called (implicitly by a for loop), execution resumes right after the last yield. This makes generators memory-efficient because they produce values lazily instead of building a full list upfront.",2026-05-08 16:09:43.223008+00,"5
4
3
2
1",python
H003,hard,context_managers,write_the_code,"Use @contextlib.contextmanager to write a context manager called tag(name) that prints ""<name>"" on enter and ""</name>"" on exit. Use it with a with block that prints ""Hello"" — where name is ""div"".","from contextlib import contextmanager

@contextmanager
def tag(name):
    print(f""<{name}>"")
    yield
    print(f""</{name}>"")

with tag(""div""):
    print(""Hello"")",,"@contextlib.contextmanager converts a generator function into a context manager. Everything before yield runs as __enter__ logic, the yielded value (if any) is bound by as, and everything after yield runs as __exit__ logic. This is simpler than writing a full class with __enter__ and __exit__.",2026-05-08 16:09:43.223008+00,"<div>
Hello
</div>",python
